"TvPInfo";"WpPl";"WprostPl";"OnetPl";"NewsweekPl";"Tvn24Pl";"NatematPl";"GazetaPl";"DziennikPl";"WyborczaPl";"date";"surname"
0;3;3;5;4;4;6;1;0;1;2015-03-16;komorowski
2;1;2;1;7;16;7;2;2;1;2015-03-16;duda
0;0;0;0;0;0;0;0;0;0;2015-03-16;ogorek
1;1;1;4;1;4;1;1;0;0;2015-03-16;korwin
0;0;0;0;0;0;3;2;0;2;2015-03-16;kukiz
0;0;0;0;0;0;1;0;0;0;2015-03-16;jarubas
0;0;1;0;0;3;0;0;0;1;2015-03-16;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-16;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-16;braun
0;0;0;0;0;0;0;0;0;0;2015-03-16;tanajno
0;2;10;1;0;10;5;2;1;2;2015-03-17;komorowski
2;6;3;0;5;14;7;2;5;2;2015-03-17;duda
0;0;0;0;0;0;2;0;0;0;2015-03-17;ogorek
1;1;3;2;2;2;1;0;0;0;2015-03-17;korwin
0;3;1;1;0;1;4;0;0;2;2015-03-17;kukiz
0;0;0;0;0;0;0;0;0;0;2015-03-17;jarubas
0;0;1;0;0;3;0;1;0;0;2015-03-17;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-17;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-17;braun
0;0;0;0;0;0;0;0;0;0;2015-03-17;tanajno
1;0;5;2;0;12;0;1;3;0;2015-03-18;komorowski
0;1;2;0;2;5;1;2;3;0;2015-03-18;duda
0;1;0;0;0;0;0;0;0;0;2015-03-18;ogorek
0;0;0;1;0;0;1;0;0;0;2015-03-18;korwin
0;2;0;1;0;0;0;0;0;0;2015-03-18;kukiz
0;0;1;0;0;0;0;0;0;0;2015-03-18;jarubas
0;0;2;0;0;0;0;0;0;0;2015-03-18;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-18;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-18;braun
0;0;0;0;0;0;0;0;0;0;2015-03-18;tanajno
1;0;3;1;1;3;0;1;2;1;2015-03-19;komorowski
0;0;1;0;1;3;0;1;0;0;2015-03-19;duda
0;0;0;0;0;0;3;0;0;1;2015-03-19;ogorek
0;0;0;0;0;0;2;1;0;0;2015-03-19;korwin
0;1;0;0;1;3;1;0;0;0;2015-03-19;kukiz
0;0;0;0;0;0;0;0;0;0;2015-03-19;jarubas
0;0;1;0;0;0;0;0;0;0;2015-03-19;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-19;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-19;braun
0;0;0;0;0;0;0;0;0;0;2015-03-19;tanajno
0;2;2;1;2;5;2;3;4;1;2015-03-20;komorowski
0;2;0;3;1;3;3;3;0;2;2015-03-20;duda
0;0;0;0;0;0;3;0;0;0;2015-03-20;ogorek
0;1;0;2;0;0;2;0;0;0;2015-03-20;korwin
1;0;2;0;1;0;2;0;0;0;2015-03-20;kukiz
1;0;1;0;0;0;0;0;0;0;2015-03-20;jarubas
0;0;1;0;0;0;0;0;0;0;2015-03-20;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-20;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-20;braun
0;0;0;0;0;0;0;0;0;0;2015-03-20;tanajno
0;2;3;1;2;9;8;0;3;1;2015-03-21;komorowski
0;2;0;2;1;4;5;2;1;3;2015-03-21;duda
0;0;0;2;0;6;3;1;0;0;2015-03-21;ogorek
0;0;0;1;0;1;5;1;0;0;2015-03-21;korwin
0;1;2;0;1;0;2;0;0;0;2015-03-21;kukiz
1;0;2;0;0;0;0;0;0;0;2015-03-21;jarubas
0;0;1;0;1;0;3;1;0;0;2015-03-21;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-21;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-21;braun
0;0;0;0;0;0;0;0;0;0;2015-03-21;tanajno
0;1;6;1;0;17;11;1;2;2;2015-03-22;komorowski
1;1;1;0;0;0;6;0;1;1;2015-03-22;duda
0;0;0;1;0;0;3;0;0;0;2015-03-22;ogorek
1;0;0;0;0;0;7;0;0;0;2015-03-22;korwin
0;0;0;0;0;0;3;1;0;1;2015-03-22;kukiz
0;0;1;0;0;0;0;0;0;0;2015-03-22;jarubas
0;0;1;0;2;0;2;0;0;0;2015-03-22;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-22;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-22;braun
0;0;0;0;0;0;0;0;0;0;2015-03-22;tanajno
2;5;5;2;2;6;6;4;3;4;2015-03-23;komorowski
4;3;6;3;4;13;7;6;0;2;2015-03-23;duda
0;3;0;0;0;0;3;0;0;0;2015-03-23;ogorek
1;0;1;1;0;0;2;0;2;2;2015-03-23;korwin
2;3;2;2;0;4;3;1;0;0;2015-03-23;kukiz
0;0;1;0;0;0;0;0;0;0;2015-03-23;jarubas
0;1;2;1;1;0;1;0;0;2;2015-03-23;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-23;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-23;braun
0;0;0;0;0;0;0;0;0;0;2015-03-23;tanajno
2;4;5;0;1;7;3;3;0;1;2015-03-24;komorowski
2;3;4;1;1;12;6;5;2;1;2015-03-24;duda
0;0;0;0;1;0;0;0;0;0;2015-03-24;ogorek
0;0;0;0;0;0;1;0;0;0;2015-03-24;korwin
0;1;1;0;0;0;2;0;0;0;2015-03-24;kukiz
0;0;0;0;0;0;0;0;0;1;2015-03-24;jarubas
0;0;2;0;0;0;0;0;0;0;2015-03-24;palikot
